,event_name,slot_date,count,max_amount,location,language,creator_id,creator_name,creator_info,participants
0,Sunday Breakfast with Shreyas Rao,08/03/2025,20,3000,chennai,"['english', 'tamil']",0,Curtis Foster,"['emotions and feelings', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Very Highly Introverted', 'Moderately Motivated', 'Not Creative at All', 'Rarely Stressed', 'Below Average Job', 'Deeply Enlightened', 'Rarely Family-Oriented', 'Very Highly Lonely', 'Moderately Enjoys Going Out', 'Hates Working Out', 'Academic Success is My Top Priority', 'Loves Only City', 'Neutral Towards Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']","[{'participant_name': 'Jodi Chapman', 'profession': 'hydrologist', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'spontanous and improvized', 'rock', 'Slightly Extroverted', 'Moderately Motivated', 'Occasionally Creative', 'Fairly Stressed', 'Very Good Job', 'Extremely Spiritual', 'Fairly Family-Oriented', 'Never Lonely', 'Hates Going Out', 'Hates Working Out', 'Academic Success Very Highly Matters', 'Enjoys City More', 'Absolutely Loves Politically Incorrect Humor', 'Occasionally Discusses Politics']}, {'participant_name': 'Brittany Brown', 'profession': 'medical equipment repairer', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Mostly Extroverted', 'Not Motivated at All', 'Rarely Creative', 'Very Highly Stressed', 'Dream Job', 'Rarely Spiritual', 'Fairly Family-Oriented', 'Extremely Lonely', 'Very Highly Enjoys Going Out', 'Rarely Works Out', 'Academic Success Moderately Matters', 'Prefers Nature Strongly', 'Very Highly Enjoys Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']}, {'participant_name': 'Jeffrey Wilson', 'profession': 'photonics engineer', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'well-planned in advance', 'rap', 'Noticeably Introverted', 'Occasionally Motivated', 'Slightly Creative', 'Moderately Stressed', 'Average Job', 'Slightly Spiritual', 'Occasionally Family-Oriented', 'Highly Lonely', 'Very Highly Enjoys Going Out', 'Hates Working Out', 'Academic Success Extremely Matters', 'Loves Only City', 'Mildly Enjoys Politically Incorrect Humor', 'Passionate About Discussing Politics']}, {'participant_name': 'Curtis Foster', 'profession': 'physical therapist assistant', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Very Highly Introverted', 'Moderately Motivated', 'Not Creative at All', 'Rarely Stressed', 'Below Average Job', 'Deeply Enlightened', 'Rarely Family-Oriented', 'Very Highly Lonely', 'Moderately Enjoys Going Out', 'Hates Working Out', 'Academic Success is My Top Priority', 'Loves Only City', 'Neutral Towards Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}]"
1,Fun Conversations & South Indian Breakfast with Strangers,09/03/2025,10,2000,bangalore,"['english', 'tamil']",1,Taylor Mejia,"['logical and facts', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Highly Introverted', 'Slightly Motivated', 'Moderately Creative', 'Slightly Stressed', 'Below Average Job', 'Not Spiritual at All', 'Highly Family-Oriented', 'Slightly Lonely', 'Slightly Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Very Highly Matters', 'Prefers City Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Rarely Discusses Politics']","[{'participant_name': 'Isabella Lara', 'profession': 'petroleum engineer', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'spontanous and improvized', 'rap', 'Highly Extroverted', 'Slightly Motivated', 'Rarely Creative', 'Not Stressed at All', 'Terrible Job', 'Rarely Spiritual', 'Very Highly Family-Oriented', 'Highly Lonely', 'Loves Going Out All the Time', 'Hates Working Out', 'Academic Success Very Highly Matters', 'Enjoys Nature More', 'Mostly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Cameron Good', 'profession': 'chemist', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Extremely Introverted', 'Rarely Motivated', 'Highly Creative', 'Rarely Stressed', 'Average Job', 'Moderately Spiritual', 'Deeply Devoted to Family', 'Extremely Lonely', 'Slightly Enjoys Going Out', 'Occasionally Works Out', 'Academic Success Very Highly Matters', 'Leans Toward Nature', 'Slightly Dislikes Politically Incorrect Humor', 'Occasionally Discusses Politics']}, {'participant_name': 'Taylor Mejia', 'profession': 'physical therapist assistant', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Highly Introverted', 'Slightly Motivated', 'Moderately Creative', 'Slightly Stressed', 'Below Average Job', 'Not Spiritual at All', 'Highly Family-Oriented', 'Slightly Lonely', 'Slightly Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Very Highly Matters', 'Prefers City Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Rarely Discusses Politics']}]"
2,Drinks & Conversations with Strangers,02/03/2025,15,2500,chennai,"['english', 'telugu']",2,Molly Sanchez,"['logical and facts', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Ambiverted', 'Fairly Motivated', 'Occasionally Creative', 'Not Stressed at All', 'Bad Job', 'Highly Spiritual', 'Deeply Devoted to Family', 'Fairly Lonely', 'Moderately Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Fairly Matters', 'Enjoys Nature More', 'Very Highly Enjoys Politically Incorrect Humor', 'Passionate About Discussing Politics']","[{'participant_name': 'Tiffany Patel', 'profession': '', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'spontanous and improvized', 'neither rap or rock', 'Slightly Introverted', 'Fairly Motivated', 'Exceptionally Imaginative', 'Occasionally Stressed', 'Below Average Job', 'Fairly Spiritual', 'Not Family-Oriented at All', 'Highly Lonely', 'Loves Going Out All the Time', 'Occasionally Works Out', 'Academic Success is My Top Priority', 'Enjoys City More', 'Slightly Dislikes Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Mark West', 'profession': '', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Highly Extroverted', 'Occasionally Motivated', 'Exceptionally Imaginative', 'Rarely Stressed', 'Bad Job', 'Very Highly Spiritual', 'Deeply Devoted to Family', 'Fairly Lonely', 'Fairly Enjoys Going Out', 'Hates Working Out', 'Academic Success Highly Matters', 'Thrives in the City', 'Highly Enjoys Politically Incorrect Humor', 'Highly Enjoys Discussing Politics']}, {'participant_name': 'Molly Sanchez', 'profession': '', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rap', 'Ambiverted', 'Fairly Motivated', 'Occasionally Creative', 'Not Stressed at All', 'Bad Job', 'Highly Spiritual', 'Deeply Devoted to Family', 'Fairly Lonely', 'Moderately Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Fairly Matters', 'Enjoys Nature More', 'Very Highly Enjoys Politically Incorrect Humor', 'Passionate About Discussing Politics']}]"
3,Enjoy Sunday Breakfast with Strangers,02/03/2025,5,2500,bangalore,"['english', 'tamil']",3,Todd Ruiz,"['logical and facts', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Highly Introverted', 'Slightly Motivated', 'Moderately Creative', 'Slightly Stressed', 'Below Average Job', 'Not Spiritual at All', 'Highly Family-Oriented', 'Slightly Lonely', 'Slightly Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Very Highly Matters', 'Prefers City Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Rarely Discusses Politics']","[{'participant_name': 'Steven Nelson', 'profession': 'natural sciences manager', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Very Highly Introverted', 'Extremely Motivated', 'Moderately Creative', 'Occasionally Stressed', 'Good Job', 'Deeply Enlightened', 'Occasionally Family-Oriented', 'Highly Lonely', 'Loves Going Out All the Time', 'Moderately Enjoys Working Out', ""Academic Success Doesn't Matter at All"", 'Thrives in the City', 'Mostly Dislikes Politically Incorrect Humor', 'Avoids Discussing Politics']}, {'participant_name': 'Todd Ruiz', 'profession': 'physical therapist assistant', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Highly Introverted', 'Slightly Motivated', 'Moderately Creative', 'Slightly Stressed', 'Below Average Job', 'Not Spiritual at All', 'Highly Family-Oriented', 'Slightly Lonely', 'Slightly Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Very Highly Matters', 'Prefers City Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Rarely Discusses Politics']}]"
4,Enjoy Ramen & Conversations with Strangers,01/03/2025,10,3500,bangalore,"['english', 'hindi']",4,Michelle Zimmerman,"['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'rap', 'Mostly Extroverted', 'Not Motivated at All', 'Very Highly Creative', 'Very Highly Stressed', 'Very Good Job', 'Slightly Spiritual', 'Slightly Family-Oriented', 'Never Lonely', 'Fairly Enjoys Going Out', 'Occasionally Works Out', 'Academic Success is My Top Priority', 'Enjoys City More', 'Slightly Dislikes Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']","[{'participant_name': 'Kristi Key', 'profession': 'health technician', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Moderately Introverted', 'Rarely Motivated', 'Extremely Creative', 'Moderately Stressed', 'Below Average Job', 'Occasionally Spiritual', 'Slightly Family-Oriented', 'Occasionally Lonely', 'Rarely Enjoys Going Out', 'Hates Working Out', 'Academic Success Moderately Matters', 'Enjoys Nature More', 'Mostly Dislikes Politically Incorrect Humor', 'Loves Discussing Politics']}, {'participant_name': 'Michelle Zimmerman', 'profession': '', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'rap', 'Mostly Extroverted', 'Not Motivated at All', 'Very Highly Creative', 'Very Highly Stressed', 'Very Good Job', 'Slightly Spiritual', 'Slightly Family-Oriented', 'Never Lonely', 'Fairly Enjoys Going Out', 'Occasionally Works Out', 'Academic Success is My Top Priority', 'Enjoys City More', 'Slightly Dislikes Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}]"
5,"Jack of All, Master of Some Table",01/03/2025,15,5000,mumbai,"['english', 'kannada']",5,Shirley Nielsen,"['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Very Highly Introverted', 'Not Motivated at All', 'Exceptionally Imaginative', 'Moderately Stressed', 'Very Good Job', 'Highly Spiritual', 'Extremely Family-Oriented', 'Highly Lonely', 'Very Highly Enjoys Going Out', 'Fairly Enjoys Working Out', 'Academic Success Slightly Matters', 'Prefers Nature Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Passionate About Discussing Politics']","[{'participant_name': 'Jason Williams', 'profession': '', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Ambiverted', 'Occasionally Motivated', 'Slightly Creative', 'Fairly Stressed', 'Decent Job', 'Occasionally Spiritual', 'Occasionally Family-Oriented', 'Moderately Lonely', 'Rarely Enjoys Going Out', 'Moderately Enjoys Working Out', 'Academic Success Slightly Matters', 'Prefers Nature Strongly', 'Mildly Enjoys Politically Incorrect Humor', 'Often Enjoys Discussing Politics']}, {'participant_name': 'Shirley Nielsen', 'profession': 'physical therapist assistant', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Very Highly Introverted', 'Not Motivated at All', 'Exceptionally Imaginative', 'Moderately Stressed', 'Very Good Job', 'Highly Spiritual', 'Extremely Family-Oriented', 'Highly Lonely', 'Very Highly Enjoys Going Out', 'Fairly Enjoys Working Out', 'Academic Success Slightly Matters', 'Prefers Nature Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Passionate About Discussing Politics']}]"
6,Enjoy Old Monk with Strangers,08/03/2025,5,5000,mumbai,"['english', 'kannada']",6,Jessica Haynes,"['logical and facts', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Highly Introverted', 'Slightly Motivated', 'Moderately Creative', 'Slightly Stressed', 'Below Average Job', 'Not Spiritual at All', 'Highly Family-Oriented', 'Slightly Lonely', 'Slightly Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Very Highly Matters', 'Prefers City Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Rarely Discusses Politics']","[{'participant_name': 'Leslie Garcia', 'profession': 'photonics technician', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Ambiverted', 'Incredibly Self-Driven', 'Very Highly Creative', 'Slightly Stressed', 'Good Job', 'Moderately Spiritual', 'Moderately Family-Oriented', 'Rarely Lonely', 'Occasionally Enjoys Going Out', 'Lives to Work Out', 'Academic Success Slightly Matters', 'Prefers Nature Strongly', 'Occasionally Tolerates Politically Incorrect Humor', 'Hates Discussing Politics']}, {'participant_name': 'Jessica Haynes', 'profession': 'physical therapist assistant', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Highly Introverted', 'Slightly Motivated', 'Moderately Creative', 'Slightly Stressed', 'Below Average Job', 'Not Spiritual at All', 'Highly Family-Oriented', 'Slightly Lonely', 'Slightly Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success Very Highly Matters', 'Prefers City Strongly', 'Strongly Dislikes Politically Incorrect Humor', 'Rarely Discusses Politics']}]"
7,Travel Tales,01/03/2025,4,500,bangalore,"['english', 'kannada']",7,Brandy Anderson,"['logical and facts', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'rock', 'Mostly Extroverted', 'Slightly Motivated', 'Exceptionally Imaginative', 'Severely Overwhelmed', 'Great Job', 'Deeply Enlightened', 'Fairly Family-Oriented', 'Completely Isolated', 'Occasionally Enjoys Going Out', 'Highly Enjoys Working Out', 'Academic Success Extremely Matters', 'Prefers City Strongly', 'Occasionally Tolerates Politically Incorrect Humor', 'Avoids Discussing Politics']","[{'participant_name': 'Bryan Kennedy', 'profession': 'soil and plant scientist', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Highly Introverted', 'Very Highly Motivated', 'Not Creative at All', 'Occasionally Stressed', 'Very Good Job', 'Moderately Spiritual', 'Extremely Family-Oriented', 'Highly Lonely', 'Moderately Enjoys Going Out', 'Hates Working Out', 'Academic Success Rarely Matters', 'Thrives in the City', 'Highly Enjoys Politically Incorrect Humor', 'Loves Discussing Politics']}, {'participant_name': 'Johnny Randolph', 'profession': 'food science technician', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'smart person', 'classic and timeless', 'well-planned in advance', 'neither rap or rock', 'Very Highly Introverted', 'Extremely Motivated', 'Moderately Creative', 'Highly Stressed', 'Decent Job', 'Extremely Spiritual', 'Moderately Family-Oriented', 'Occasionally Lonely', 'Occasionally Enjoys Going Out', 'Rarely Works Out', 'Academic Success Extremely Matters', 'Enjoys City More', 'Moderately Enjoys Politically Incorrect Humor', 'Hates Discussing Politics']}, {'participant_name': 'Lori Andrews', 'profession': '', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Extremely Introverted', 'Extremely Motivated', 'Slightly Creative', 'Fairly Stressed', 'Bad Job', 'Fairly Spiritual', 'Very Highly Family-Oriented', 'Completely Isolated', 'Occasionally Enjoys Going Out', 'Extremely Dedicated to Working Out', 'Academic Success is My Top Priority', 'Loves Only Nature', 'Mostly Dislikes Politically Incorrect Humor', 'Moderately Enjoys Discussing Politics']}, {'participant_name': 'Brandy Anderson', 'profession': 'physical therapist assistant', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'classic and timeless', 'well-planned in advance', 'rock', 'Mostly Extroverted', 'Slightly Motivated', 'Exceptionally Imaginative', 'Severely Overwhelmed', 'Great Job', 'Deeply Enlightened', 'Fairly Family-Oriented', 'Completely Isolated', 'Occasionally Enjoys Going Out', 'Highly Enjoys Working Out', 'Academic Success Extremely Matters', 'Prefers City Strongly', 'Occasionally Tolerates Politically Incorrect Humor', 'Avoids Discussing Politics']}]"
8,From Page to Stage with Arjun Sajnani,09/03/2025,15,5000,chennai,"['english', 'hindi']",8,Denise Thornton,"['emotions and feelings', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Noticeably Introverted', 'Extremely Motivated', 'Slightly Creative', 'Slightly Stressed', 'Decent Job', 'Highly Spiritual', 'Rarely Family-Oriented', 'Highly Lonely', 'Highly Enjoys Going Out', 'Occasionally Works Out', 'Academic Success Very Highly Matters', 'Enjoys City More', 'Mostly Dislikes Politically Incorrect Humor', 'Avoids Discussing Politics']","[{'participant_name': 'Cathy Bray', 'profession': '', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'well-planned in advance', 'rap', 'Ambiverted', 'Rarely Motivated', 'Rarely Creative', 'Severely Overwhelmed', 'Good Job', 'Fairly Spiritual', 'Rarely Family-Oriented', 'Occasionally Lonely', 'Occasionally Enjoys Going Out', 'Occasionally Works Out', 'Academic Success Slightly Matters', 'Thrives in the City', 'Occasionally Tolerates Politically Incorrect Humor', 'Passionate About Discussing Politics']}, {'participant_name': 'Andrew Castro', 'profession': 'medical scientist', 'participant_info': ['logical and facts', 'mainstream blockbuster lover', 'funny person', 'trendy and expressive', 'well-planned in advance', 'rock', 'Ambiverted', 'Very Highly Motivated', 'Exceptionally Imaginative', 'Moderately Stressed', 'Good Job', 'Deeply Enlightened', 'Highly Family-Oriented', 'Rarely Lonely', 'Rarely Enjoys Going Out', 'Rarely Works Out', 'Academic Success Moderately Matters', 'Thrives in the City', 'Very Highly Enjoys Politically Incorrect Humor', 'Loves Discussing Politics']}, {'participant_name': 'Denise Thornton', 'profession': 'physical therapist assistant', 'participant_info': ['emotions and feelings', 'mainstream blockbuster lover', 'smart person', 'trendy and expressive', 'spontanous and improvized', 'rock', 'Noticeably Introverted', 'Extremely Motivated', 'Slightly Creative', 'Slightly Stressed', 'Decent Job', 'Highly Spiritual', 'Rarely Family-Oriented', 'Highly Lonely', 'Highly Enjoys Going Out', 'Occasionally Works Out', 'Academic Success Very Highly Matters', 'Enjoys City More', 'Mostly Dislikes Politically Incorrect Humor', 'Avoids Discussing Politics']}]"
9,Go-Offline on HighTable,02/03/2025,4,4000,bangalore,"['english', 'telugu']",9,Christine Caldwell,"['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'spontanous and improvized', 'rap', 'Mostly Extroverted', 'Incredibly Self-Driven', 'Exceptionally Imaginative', 'Slightly Stressed', 'Very Good Job', 'Occasionally Spiritual', 'Moderately Family-Oriented', 'Completely Isolated', 'Hates Going Out', 'Moderately Enjoys Working Out', 'Academic Success Slightly Matters', 'Loves Only City', 'Mildly Enjoys Politically Incorrect Humor', 'Avoids Discussing Politics']","[{'participant_name': 'Sean Chan', 'profession': 'psychology teacher, postsecondary', 'participant_info': ['emotions and feelings', ""author's film enthusiast"", 'funny person', 'trendy and expressive', 'spontanous and improvized', 'neither rap or rock', 'Noticeably Introverted', 'Rarely Motivated', 'Highly Creative', 'Very Highly Stressed', 'Good Job', 'Highly Spiritual', 'Fairly Family-Oriented', 'Never Lonely', 'Rarely Enjoys Going Out', 'Fairly Enjoys Working Out', 'Academic Success Rarely Matters', 'Prefers Nature Strongly', 'Highly Enjoys Politically Incorrect Humor', 'Hates Discussing Politics']}, {'participant_name': 'Christine Caldwell', 'profession': 'physical therapist assistant', 'participant_info': ['logical and facts', ""author's film enthusiast"", 'funny person', 'classic and timeless', 'spontanous and improvized', 'rap', 'Mostly Extroverted', 'Incredibly Self-Driven', 'Exceptionally Imaginative', 'Slightly Stressed', 'Very Good Job', 'Occasionally Spiritual', 'Moderately Family-Oriented', 'Completely Isolated', 'Hates Going Out', 'Moderately Enjoys Working Out', 'Academic Success Slightly Matters', 'Loves Only City', 'Mildly Enjoys Politically Incorrect Humor', 'Avoids Discussing Politics']}]"
